"GEO_ID","NAME","B19037_001E","B19037_001EA","B19037_001M","B19037_001MA","B19037_002E","B19037_002EA","B19037_002M","B19037_002MA","B19037_003E","B19037_003M","B19037_003MA","B19037_003EA","B19037_004E","B19037_004EA","B19037_004M","B19037_004MA","B19037_005E","B19037_005EA","B19037_005M","B19037_005MA","B19037_006E","B19037_006EA","B19037_006M","B19037_006MA","B19037_007E","B19037_007EA","B19037_007M","B19037_007MA","B19037_008E","B19037_008EA","B19037_008M","B19037_008MA","B19037_009E","B19037_009EA","B19037_009M","B19037_009MA","B19037_010E","B19037_010EA","B19037_010M","B19037_010MA","B19037_011E","B19037_011EA","B19037_011M","B19037_011MA","B19037_012E","B19037_012EA","B19037_012M","B19037_012MA","B19037_013E","B19037_013M","B19037_013MA","B19037_013EA","B19037_014E","B19037_014M","B19037_014MA","B19037_014EA","B19037_015E","B19037_015EA","B19037_015M","B19037_015MA","B19037_016E","B19037_016M","B19037_016MA","B19037_016EA","B19037_017E","B19037_017M","B19037_017MA","B19037_017EA","B19037_018E","B19037_018EA","B19037_018M","B19037_018MA","B19037_019E","B19037_019EA","B19037_019M","B19037_019MA","B19037_020E","B19037_020EA","B19037_020M","B19037_020MA","B19037_021E","B19037_021EA","B19037_021M","B19037_021MA","B19037_022E","B19037_022EA","B19037_022M","B19037_022MA","B19037_023E","B19037_023EA","B19037_023M","B19037_023MA","B19037_024E","B19037_024EA","B19037_024M","B19037_024MA","B19037_025E","B19037_025M","B19037_025MA","B19037_025EA","B19037_026E","B19037_026EA","B19037_026M","B19037_026MA","B19037_027E","B19037_027M","B19037_027MA","B19037_027EA","B19037_028E","B19037_028EA","B19037_028M","B19037_028MA","B19037_029E","B19037_029EA","B19037_029M","B19037_029MA","B19037_030E","B19037_030EA","B19037_030M","B19037_030MA","B19037_031E","B19037_031EA","B19037_031M","B19037_031MA","B19037_032E","B19037_032EA","B19037_032M","B19037_032MA","B19037_033E","B19037_033EA","B19037_033M","B19037_033MA","B19037_034E","B19037_034EA","B19037_034M","B19037_034MA","B19037_035E","B19037_035M","B19037_035MA","B19037_035EA","B19037_036E","B19037_036M","B19037_036MA","B19037_036EA","B19037_037E","B19037_037EA","B19037_037M","B19037_037MA","B19037_038E","B19037_038EA","B19037_038M","B19037_038MA","B19037_039E","B19037_039EA","B19037_039M","B19037_039MA","B19037_040E","B19037_040EA","B19037_040M","B19037_040MA","B19037_041E","B19037_041EA","B19037_041M","B19037_041MA","B19037_042E","B19037_042EA","B19037_042M","B19037_042MA","B19037_043E","B19037_043EA","B19037_043M","B19037_043MA","B19037_044E","B19037_044EA","B19037_044M","B19037_044MA","B19037_045E","B19037_045EA","B19037_045M","B19037_045MA","B19037_046E","B19037_046EA","B19037_046M","B19037_046MA","B19037_047E","B19037_047EA","B19037_047M","B19037_047MA","B19037_048E","B19037_048EA","B19037_048M","B19037_048MA","B19037_049E","B19037_049M","B19037_049MA","B19037_049EA","B19037_050E","B19037_050EA","B19037_050M","B19037_050MA","B19037_051E","B19037_051EA","B19037_051M","B19037_051MA","B19037_052E","B19037_052EA","B19037_052M","B19037_052MA","B19037_053E","B19037_053EA","B19037_053M","B19037_053MA","B19037_054E","B19037_054EA","B19037_054M","B19037_054MA","B19037_055E","B19037_055EA","B19037_055M","B19037_055MA","B19037_056E","B19037_056EA","B19037_056M","B19037_056MA","B19037_057E","B19037_057EA","B19037_057M","B19037_057MA","B19037_058E","B19037_058M","B19037_058MA","B19037_058EA","B19037_059E","B19037_059EA","B19037_059M","B19037_059MA","B19037_060E","B19037_060EA","B19037_060M","B19037_060MA","B19037_061E","B19037_061EA","B19037_061M","B19037_061MA","B19037_062E","B19037_062EA","B19037_062M","B19037_062MA","B19037_063E","B19037_063EA","B19037_063M","B19037_063MA","B19037_064E","B19037_064EA","B19037_064M","B19037_064MA","B19037_065E","B19037_065EA","B19037_065M","B19037_065MA","B19037_066E","B19037_066EA","B19037_066M","B19037_066MA","B19037_067E","B19037_067EA","B19037_067M","B19037_067MA","B19037_068E","B19037_068EA","B19037_068M","B19037_068MA","B19037_069E","B19037_069EA","B19037_069M","B19037_069MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Householder under 25 years:","Annotation of Estimate!!Total:!!Householder under 25 years:","Margin of Error!!Total:!!Householder under 25 years:","Annotation of Margin of Error!!Total:!!Householder under 25 years:","Estimate!!Total:!!Householder under 25 years:!!Less than $10,000","Margin of Error!!Total:!!Householder under 25 years:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!Less than $10,000","Annotation of Estimate!!Total:!!Householder under 25 years:!!Less than $10,000","Estimate!!Total:!!Householder under 25 years:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder under 25 years:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$10,000 to $14,999","Estimate!!Total:!!Householder under 25 years:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder under 25 years:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$15,000 to $19,999","Estimate!!Total:!!Householder under 25 years:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder under 25 years:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$20,000 to $24,999","Estimate!!Total:!!Householder under 25 years:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder under 25 years:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$25,000 to $29,999","Estimate!!Total:!!Householder under 25 years:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder under 25 years:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$30,000 to $34,999","Estimate!!Total:!!Householder under 25 years:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder under 25 years:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$35,000 to $39,999","Estimate!!Total:!!Householder under 25 years:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder under 25 years:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$40,000 to $44,999","Estimate!!Total:!!Householder under 25 years:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder under 25 years:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$45,000 to $49,999","Estimate!!Total:!!Householder under 25 years:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder under 25 years:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$50,000 to $59,999","Estimate!!Total:!!Householder under 25 years:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder under 25 years:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$60,000 to $74,999","Estimate!!Total:!!Householder under 25 years:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder under 25 years:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$75,000 to $99,999","Estimate!!Total:!!Householder under 25 years:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder under 25 years:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$100,000 to $124,999","Estimate!!Total:!!Householder under 25 years:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder under 25 years:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$125,000 to $149,999","Estimate!!Total:!!Householder under 25 years:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder under 25 years:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!Householder under 25 years:!!$150,000 to $199,999","Estimate!!Total:!!Householder under 25 years:!!$200,000 or more","Annotation of Estimate!!Total:!!Householder under 25 years:!!$200,000 or more","Margin of Error!!Total:!!Householder under 25 years:!!$200,000 or more","Annotation of Margin of Error!!Total:!!Householder under 25 years:!!$200,000 or more","Estimate!!Total:!!Householder 25 to 44 years:","Annotation of Estimate!!Total:!!Householder 25 to 44 years:","Margin of Error!!Total:!!Householder 25 to 44 years:","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:","Estimate!!Total:!!Householder 25 to 44 years:!!Less than $10,000","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!Less than $10,000","Margin of Error!!Total:!!Householder 25 to 44 years:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!Less than $10,000","Estimate!!Total:!!Householder 25 to 44 years:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$10,000 to $14,999","Estimate!!Total:!!Householder 25 to 44 years:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$15,000 to $19,999","Estimate!!Total:!!Householder 25 to 44 years:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$20,000 to $24,999","Estimate!!Total:!!Householder 25 to 44 years:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$25,000 to $29,999","Estimate!!Total:!!Householder 25 to 44 years:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$30,000 to $34,999","Estimate!!Total:!!Householder 25 to 44 years:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$35,000 to $39,999","Estimate!!Total:!!Householder 25 to 44 years:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$40,000 to $44,999","Estimate!!Total:!!Householder 25 to 44 years:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$45,000 to $49,999","Estimate!!Total:!!Householder 25 to 44 years:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$50,000 to $59,999","Estimate!!Total:!!Householder 25 to 44 years:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$60,000 to $74,999","Estimate!!Total:!!Householder 25 to 44 years:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$75,000 to $99,999","Estimate!!Total:!!Householder 25 to 44 years:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$100,000 to $124,999","Estimate!!Total:!!Householder 25 to 44 years:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$125,000 to $149,999","Estimate!!Total:!!Householder 25 to 44 years:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder 25 to 44 years:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$150,000 to $199,999","Estimate!!Total:!!Householder 25 to 44 years:!!$200,000 or more","Margin of Error!!Total:!!Householder 25 to 44 years:!!$200,000 or more","Annotation of Margin of Error!!Total:!!Householder 25 to 44 years:!!$200,000 or more","Annotation of Estimate!!Total:!!Householder 25 to 44 years:!!$200,000 or more","Estimate!!Total:!!Householder 45 to 64 years:","Margin of Error!!Total:!!Householder 45 to 64 years:","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:","Annotation of Estimate!!Total:!!Householder 45 to 64 years:","Estimate!!Total:!!Householder 45 to 64 years:!!Less than $10,000","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!Less than $10,000","Margin of Error!!Total:!!Householder 45 to 64 years:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!Less than $10,000","Estimate!!Total:!!Householder 45 to 64 years:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$10,000 to $14,999","Estimate!!Total:!!Householder 45 to 64 years:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$15,000 to $19,999","Estimate!!Total:!!Householder 45 to 64 years:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$20,000 to $24,999","Estimate!!Total:!!Householder 45 to 64 years:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$25,000 to $29,999","Estimate!!Total:!!Householder 45 to 64 years:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$30,000 to $34,999","Estimate!!Total:!!Householder 45 to 64 years:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$35,000 to $39,999","Estimate!!Total:!!Householder 45 to 64 years:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$40,000 to $44,999","Estimate!!Total:!!Householder 45 to 64 years:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$45,000 to $49,999","Estimate!!Total:!!Householder 45 to 64 years:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$50,000 to $59,999","Estimate!!Total:!!Householder 45 to 64 years:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$60,000 to $74,999","Estimate!!Total:!!Householder 45 to 64 years:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$75,000 to $99,999","Estimate!!Total:!!Householder 45 to 64 years:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$100,000 to $124,999","Estimate!!Total:!!Householder 45 to 64 years:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$125,000 to $149,999","Estimate!!Total:!!Householder 45 to 64 years:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder 45 to 64 years:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$150,000 to $199,999","Estimate!!Total:!!Householder 45 to 64 years:!!$200,000 or more","Annotation of Estimate!!Total:!!Householder 45 to 64 years:!!$200,000 or more","Margin of Error!!Total:!!Householder 45 to 64 years:!!$200,000 or more","Annotation of Margin of Error!!Total:!!Householder 45 to 64 years:!!$200,000 or more","Estimate!!Total:!!Householder 65 years and over:","Annotation of Estimate!!Total:!!Householder 65 years and over:","Margin of Error!!Total:!!Householder 65 years and over:","Annotation of Margin of Error!!Total:!!Householder 65 years and over:","Estimate!!Total:!!Householder 65 years and over:!!Less than $10,000","Annotation of Estimate!!Total:!!Householder 65 years and over:!!Less than $10,000","Margin of Error!!Total:!!Householder 65 years and over:!!Less than $10,000","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!Less than $10,000","Estimate!!Total:!!Householder 65 years and over:!!$10,000 to $14,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$10,000 to $14,999","Margin of Error!!Total:!!Householder 65 years and over:!!$10,000 to $14,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$10,000 to $14,999","Estimate!!Total:!!Householder 65 years and over:!!$15,000 to $19,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$15,000 to $19,999","Margin of Error!!Total:!!Householder 65 years and over:!!$15,000 to $19,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$15,000 to $19,999","Estimate!!Total:!!Householder 65 years and over:!!$20,000 to $24,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$20,000 to $24,999","Margin of Error!!Total:!!Householder 65 years and over:!!$20,000 to $24,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$20,000 to $24,999","Estimate!!Total:!!Householder 65 years and over:!!$25,000 to $29,999","Margin of Error!!Total:!!Householder 65 years and over:!!$25,000 to $29,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$25,000 to $29,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$25,000 to $29,999","Estimate!!Total:!!Householder 65 years and over:!!$30,000 to $34,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$30,000 to $34,999","Margin of Error!!Total:!!Householder 65 years and over:!!$30,000 to $34,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$30,000 to $34,999","Estimate!!Total:!!Householder 65 years and over:!!$35,000 to $39,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$35,000 to $39,999","Margin of Error!!Total:!!Householder 65 years and over:!!$35,000 to $39,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$35,000 to $39,999","Estimate!!Total:!!Householder 65 years and over:!!$40,000 to $44,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$40,000 to $44,999","Margin of Error!!Total:!!Householder 65 years and over:!!$40,000 to $44,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$40,000 to $44,999","Estimate!!Total:!!Householder 65 years and over:!!$45,000 to $49,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$45,000 to $49,999","Margin of Error!!Total:!!Householder 65 years and over:!!$45,000 to $49,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$45,000 to $49,999","Estimate!!Total:!!Householder 65 years and over:!!$50,000 to $59,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$50,000 to $59,999","Margin of Error!!Total:!!Householder 65 years and over:!!$50,000 to $59,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$50,000 to $59,999","Estimate!!Total:!!Householder 65 years and over:!!$60,000 to $74,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$60,000 to $74,999","Margin of Error!!Total:!!Householder 65 years and over:!!$60,000 to $74,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$60,000 to $74,999","Estimate!!Total:!!Householder 65 years and over:!!$75,000 to $99,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$75,000 to $99,999","Margin of Error!!Total:!!Householder 65 years and over:!!$75,000 to $99,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$75,000 to $99,999","Estimate!!Total:!!Householder 65 years and over:!!$100,000 to $124,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$100,000 to $124,999","Margin of Error!!Total:!!Householder 65 years and over:!!$100,000 to $124,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$100,000 to $124,999","Estimate!!Total:!!Householder 65 years and over:!!$125,000 to $149,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$125,000 to $149,999","Margin of Error!!Total:!!Householder 65 years and over:!!$125,000 to $149,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$125,000 to $149,999","Estimate!!Total:!!Householder 65 years and over:!!$150,000 to $199,999","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$150,000 to $199,999","Margin of Error!!Total:!!Householder 65 years and over:!!$150,000 to $199,999","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$150,000 to $199,999","Estimate!!Total:!!Householder 65 years and over:!!$200,000 or more","Annotation of Estimate!!Total:!!Householder 65 years and over:!!$200,000 or more","Margin of Error!!Total:!!Householder 65 years and over:!!$200,000 or more","Annotation of Margin of Error!!Total:!!Householder 65 years and over:!!$200,000 or more",
"0100000US","United States","129870928","null","136261","null","5335083","null","45029","null","718818","21013","null","null","291056","null","12415","null","258998","null","11390","null","315881","null","11940","null","296331","null","12040","null","341999","null","12241","null","294764","null","10978","null","315664","null","11889","null","243175","null","10676","null","474780","null","15457","null","574788","15418","null","null","578015","15537","null","null","300929","null","10982","null","140104","8362","null","null","111129","7058","null","null","78652","null","6817","null","42774390","null","75253","null","1951920","null","33463","null","926285","null","19393","null","800098","null","20245","null","1095127","null","21918","null","1159690","null","26194","null","1466250","24211","null","null","1355753","null","24372","null","1564254","21943","null","null","1386158","null","24249","null","3006782","null","33770","null","4305239","null","43354","null","6153740","null","46932","null","4936590","null","44322","null","3482583","null","33082","null","4182808","null","35491","null","5001113","37641","null","null","46282807","57239","null","null","2298892","null","25659","null","1497958","null","21787","null","1113994","null","19310","null","1190739","null","19259","null","1202878","null","18114","null","1347782","null","21469","null","1291127","null","21541","null","1421107","null","20279","null","1281853","null","20536","null","2758946","null","28588","null","3918418","null","33163","null","5849072","null","43239","null","4933555","37647","null","null","3731699","null","36576","null","5062628","null","43444","null","7382159","null","45106","null","35478648","null","56689","null","2149924","null","26984","null","2120073","null","23754","null","2025934","null","25671","null","2012195","null","18799","null","1846766","21882","null","null","1763352","null","19519","null","1653876","null","18433","null","1579886","null","17102","null","1446731","null","19720","null","2693233","null","21947","null","3363896","null","33578","null","4069942","null","31602","null","2682639","null","23200","null","1736903","null","23430","null","1916446","null","21836","null","2416852","null","24717","null",
